id,created_at,text
1492169282964246530,2022-02-11 16:10:54,@drussel451F @johninphx Haha. I wish I could vote for either one of these fine men so you are incorrect when you us… https://t.co/hRF5grS6xe
1492165948677058561,2022-02-11 15:57:39,The majority of our elected leaders in Phoenix lack the leadership to restore safe communities. We need more than C… https://t.co/f8Qh2BuFJP
1492165313781133314,2022-02-11 15:55:08,Almost going on two years to “slow the curve.”😷🤦‍♀️ https://t.co/uFBKExe5cd
1492164988634501124,2022-02-11 15:53:51,"RT @RepThomasMassie: another example of changing science:

In the beginning, well-fitted masks only worked for healthcare workers.

Then lo…"
1491759807803506689,2022-02-10 13:03:48,Liberals running blue states know they need to step away from their tyrannical mask mandates or they will lose big… https://t.co/XrZZMYURVf
1491604989294243841,2022-02-10 02:48:36,I’ve been a bit busy so this is a “late”post. As a published author I still revel in seeing a byline/quote of mine… https://t.co/PUosAJDB59
1491600870991011841,2022-02-10 02:32:14,@asuyaliberty @tizon_timothy @QuangNguyenAZ Woo hoo! 🙌🏻🇺🇸💪🏻🗽
1491600497584705536,2022-02-10 02:30:45,"RT @asuyaliberty: 🚨Breaking🚨

HB 2447, the bill that that would allow for concealed carry on university campuses, has just passed out of th…"
1491548667232276489,2022-02-09 23:04:48,Hey @ASU @michaelcrow why are you mandating N95 masks for ASU college students interested in playing on the intramu… https://t.co/foXFbjXSdr
1491486511602102274,2022-02-09 18:57:49,It was great to have Meagan in the House earlier this AM to testify in favor of HB2642. Thank you for all you do an… https://t.co/TZyT2iwSj0
1491250232423686145,2022-02-09 03:18:56,"RT @DeAngelisCorey: Drew Anderson : ""I'm asking for everybody here today to vote to end educational slavery. 

In 1864 we were chained to p…"
1490904085062565888,2022-02-08 04:23:28,"@noprezzie2012 @BlackmanForAZ @BlackmanForAZ said, “Hey, I have someone I want to introduce you so hold on a minute… https://t.co/tnt8GfpRB4"
1490368508156264449,2022-02-06 16:55:16,"RT @RuinsRevisited: Happy birthday to @Bolick4Arizona!

She's a hell of a legislator."
1490166979260387328,2022-02-06 03:34:28,@halvorpie I have the bumper sticker. #fjb
1490153994676686852,2022-02-06 02:42:52,"RT @johninphx: Happy Birthday to our future AZ Secretary of State, @Bolick4Arizona!"
1489975824476377093,2022-02-05 14:54:53,"RT @MrDanielBuck: “Critical Race Theory is all a Republican lie!”

False. I’m a teacher. It’s in schools. https://t.co/iKbwKHfDYF"
1489847586458521601,2022-02-05 06:25:19,@rizzole9 I voted no last session on SEL.
1489760514989170689,2022-02-05 00:39:19,@4schoolchoice @redwildcat @EducationSteve https://t.co/hqBRDksuus
1489726722048086017,2022-02-04 22:25:02,We stand for #freedom. Thank you from Arizona! 🇺🇸💪🏻💓 https://t.co/al5aAvvpBz
1489726536752111622,2022-02-04 22:24:18,RT @America1Scotty: Canadian Freedom Trucker! https://t.co/lySiabHBCJ
1489604408321056776,2022-02-04 14:19:01,"Proud of you, buddy! It was my honor to also vote to ban CRT, again. https://t.co/H14LXppzwM"
1489603471053496322,2022-02-04 14:15:17,"RT @BlackmanForAZ: I’m proud of my vote yes  on HB 2112, which bans Critical Race Theory (CRT) being taught in Arizona classrooms.  Teacher…"
1488689457087713283,2022-02-02 01:43:19,"RT @AZHouseGOP: On this first day of #BlackHistoryMonth, State Rep. @TheWaltBlackman led the Arizona House of Representatives in recognizin…"
1488542724785532928,2022-02-01 16:00:16,#nationalfreedomday https://t.co/e4gPQuvtDR
1487877391653355522,2022-01-30 19:56:28,@RosenForAZ @AbrahamHamadeh Thank you for hosting us! I look forward to coming through again soon. 🇺🇸🙌🏻💓😀🗽
1487851864586534912,2022-01-30 18:15:02,"@PortiaRedux My kids have attended public schools here and sometimes they ask for school supplies. However, this pi… https://t.co/lmNStsSnqh"
1486921593364176901,2022-01-28 04:38:28,@JosephChaplik I support your bill and would have signed on as a co-sponsor before you filed it if you had asked. Good luck! 💪🏻🙌🏻🗽
1486891814137196547,2022-01-28 02:40:08,.@azwomenofaction Great event with fellow patriots tonight here in Arizona. I will continue to stand with you to co… https://t.co/KnG8NdxkQ7
1486847481644150784,2022-01-27 23:43:58,"Thank you to Sen. Nancy Barto, Rep. Justin Wilmeth, Rep. John Fillmore, Rep. Gina Cobb, Rep. Lupe Diaz and Rep. Gai… https://t.co/WavNSZCab1"
1486847048380915712,2022-01-27 23:42:15,Securing our elections is 1 of my priorities as a legislator &amp; your next Secretary of State. Last week I introduced… https://t.co/Yl6gguzGeP
1486551369557237761,2022-01-27 04:07:19,"Last April, a bill of mine was signed into law to prohibit posting another person’s personal identifying informatio… https://t.co/sPtId3t4Tk"
1486088497924608012,2022-01-25 21:28:02,https://t.co/EQ1cr9XZLD
1486060283235749889,2022-01-25 19:35:55,"Today, is National Poll Worker Recruitment Day. Get involved. 🇺🇸🙌🏻 https://t.co/qHFi18FCef"
1485776484694253568,2022-01-25 00:48:13,"RT @AZFreeNews: In a move prompted in part by Big Tech’s interference in the 2020 election, State Representative Shawnna Bolick (R-Phoenix)…"
1485775566569541633,2022-01-25 00:44:34,Amen. Thank you @RepThomasMassie for introducing this simple bill to get the Fed’s out of the education of our chil… https://t.co/Z8Thcq6oFN
1485775241250947073,2022-01-25 00:43:16,"RT @RepThomasMassie: I attended Kentucky public schools K through 12, as did my wife. All four of our kids attended public school in Kentuc…"
1485589939815288833,2022-01-24 12:26:57,"RT @Rene4D45: Shawnna Bolick Roadmap to Restore Election Integrity, outlines immediate legislative actions AZ needs to take to restore conf…"
1485348869349072896,2022-01-23 20:29:01,"@CannabisChroni4 @schoolchoicewk Yes, sir! This is Ryne’s first time being involved in the educational freedom move… https://t.co/0iCcoCoWgG"
1485346808565956608,2022-01-23 20:20:50,@CannabisChroni4 @schoolchoicewk These photos I have included started back in 2012 through last night.  So yes I gr… https://t.co/hdCSnF6zL1
1485341571264307200,2022-01-23 20:00:01,It was great to kick-off  @schoolchoicewk last night in support of all families having educational freedom. Arizona… https://t.co/k0HSN7oI1x
1485325213231239168,2022-01-23 18:55:01,Last year I penned a letter many of my fellow colleagues signed imploring to work with @dougducey to stop the invas… https://t.co/wNstk1jTpB
1485319034031656966,2022-01-23 18:30:28,I have been to our southern Border and it is wide open. If the Fed’s refuse to stop the illegal invasion by the int… https://t.co/f6bycK4RTz
1485315541644369923,2022-01-23 18:16:35,RT @RepThomasMassie: Too many in our government care about the Ukrainian border more than the U.S. border.
1485112313996726272,2022-01-23 04:49:02,It has been a busy few days campaigning across the state. So many #ArizonaFirst patriots want to restore election i… https://t.co/aDwx0MXgcL
1485099751095750657,2022-01-23 03:59:07,@ArizonaYRs Great to see you all earlier today! 🇺🇸🙌🏻🙌🏻
1484885435062968321,2022-01-22 13:47:30,Please join me in lowering your flag today for the National Day of Tears. 🇺🇸💓 https://t.co/92q1Xtd8z6
1484318598948548608,2022-01-21 00:15:05,"RT @Rene4D45: VOTE for Rep. Shawnna Bolick for the Arizona Secretary of State! 🇺🇸
She will fight for our elections integrity, voters ID, sc…"
1484279501051731971,2022-01-20 21:39:44,Join me in changing hearts and minds one heartbeat at a time. 💓#dayoftears #ProLife https://t.co/kO03bBXHPy
1484251636851568640,2022-01-20 19:49:00,"RT @AZHouseGOP: State Representative Shawnna @Bolick4Arizona led the Arizona House of Representatives today in honoring the Day of Tears, a…"
1484215375763890176,2022-01-20 17:24:55,"Arizona needs action! I am proud of this Roadmap to Restore Election Integrity, and am grateful for several of my c… https://t.co/0bHOpkDAoA"
1484187792770945030,2022-01-20 15:35:19,Only 28% of Americans want Biden to run again.
1484002104268132352,2022-01-20 03:17:27,The filibuster is an essential defense against extremism in Washington. Democrats drummed up a “Democracy crisis” i… https://t.co/62RDUM7wbb
1484001676822409216,2022-01-20 03:15:45,.@POTUS &amp; @SenSchumer want states 2 ask the fed govt b4 they can pass their own election laws. This is unconstituti… https://t.co/enBBJ6QfQw
1484000322787819527,2022-01-20 03:10:23,The @POTUS &amp; @SenSchumer federalize-elections bills aren’t actually trying to “save democracy” - they’re just tryin… https://t.co/eCfofZB2Cd
1484000017119543309,2022-01-20 03:09:10,"To be clear, @POTUS and @SenSchumer are trying to push state-sanctioned ballot harvesting, put obstacles in the way… https://t.co/fAoVN42411"
1483999704488632324,2022-01-20 03:07:55,The vast majority of Americans want voter ID and don’t want ballot harvesting. How the Biden-Harris administration… https://t.co/mqFjt971qi
1483999562641514499,2022-01-20 03:07:21,"I guess Chuck is worried about a primary from AOC. 🙄 “They want to make this country into a banana republic, where… https://t.co/12Rqcew5gu"
1483999231027257345,2022-01-20 03:06:02,The Senate’s filibuster is the only thing standing between our state’s run elections &amp; the onslaught of CA’s Pelosi… https://t.co/C5F697Jv29
1483467722763554818,2022-01-18 15:54:01,"Alveda King responded 2 Dem’s Freedom to Cheat Act It is grotesquely offensive 2 compare segregated lunch counters,… https://t.co/Tqp0MUoaoN"
1483458939119415304,2022-01-18 15:19:07,Shame on you and your party. 78% of African-American voters support voter ID. https://t.co/EbHDlGw6M6 https://t.co/rNvA9lXKiK
1483424242095980553,2022-01-18 13:01:14,"“Hope isn’t policy.” Democrats continue to push ideas a majority of Americans don’t support like CRT, 💉 mandates, &amp;… https://t.co/Gzo2kxvFi7"
1483148593284354048,2022-01-17 18:45:54,@QuangNguyenAZ Now I know why they separated us on the House floor!
1483142081530925057,2022-01-17 18:20:02,🙌🏻💓💪🏻🇺🇸🗽 https://t.co/aA9VMGtldW
1483129010519375872,2022-01-17 17:28:05,47% of Americans identify with the #GOP. https://t.co/j9slN1NowA
1483120596590473222,2022-01-17 16:54:39,The Democratic socialists want Congress to name a bill after a guy who said Presidents George W Bush and Donald J T… https://t.co/FJSu5LPRde
1482930157295833088,2022-01-17 04:17:55,Stop trying to impose no excuse absentee voting on the entire US. Even the NY voters in Nov 21 do not support it be… https://t.co/8wh1K0KkJf
