name,facebook,twitter,state,"NPR ""denier or doubter""",Trump endorsed? (*may soon),party,INCUMBENT?,Filing deadline,Primary date,Follow the money URL,OpenSecrets URL,Ballotpedia race URL,Notes,Quotes from candidates,Withdrew?,Fundraising,,,,,,,,,
John Merrill,https://www.facebook.com/JohnMerrill,@johnhmerrill,AL,,,R,Y,1/28/2022,5/24/2022,,,"https://ballotpedia.org/Alabama_Secretary_of_State_election,_2022",,,,,,,,,,,,,
Jim Zeigler,https://www.facebook.com/ZeiglerStateAuditor/,@jimzeigler,AL,,,R,,1/28/2022,5/24/2022,,,"https://ballotpedia.org/Alabama_Secretary_of_State_election,_2022",Leading in polls https://altoday.com/archives/44561-jim-zeigler-leads-poll-trails-in-fundraising-for-secretary-of-state,,,,,,,,,,,,
Wes Allen,https://www.facebook.com/repwesallen,@RepWesAllen,AL,,,AF,,1/28/2022,5/24/2022,,,"https://ballotpedia.org/Alabama_Secretary_of_State_election,_2022",Election denying according to https://statesuniteddemocracy.org/wp-content/uploads/2022/01/sos_deniers-1.html,,,,,,,,,,,,
Ed Packard,https://www.facebook.com/futuremrsecretary,@edsosinala,AL,,,R,,1/28/2022,5/24/2022,,,"https://ballotpedia.org/Alabama_Secretary_of_State_election,_2022",,,,,,,,,,,,,
Christian Horn,https://www.facebook.com/TeamChristianHorn,@ChrisHornforAL,AL,,,R,,1/28/2022,5/24/2022,,,"https://ballotpedia.org/Alabama_Secretary_of_State_election,_2022",,"""Critical faith theory over critical race theory"" ""All lives matter"" ""No more woke politics"" ""It only drags us backwards"" https://www.facebook.com/watch?v=683300516364169",,,,,,,,,,,
Pamela Laffitte,https://www.facebook.com/pamela.laffitte.9,@pamlaffitte,AL,,,D,,1/28/2022,5/24/2022,https://www.followthemoney.org/entity-details?eid=48621644&default=candidate,,"https://ballotpedia.org/Alabama_Secretary_of_State_election,_2022",,DEMOCRAT,,,,,,,,,,,
John Adams,https://www.facebook.com/profile.php?id=100072014681085,NA,OH,Y,,AF,,2/2/2022,5/3/2022,,,"https://ballotpedia.org/Ohio_Secretary_of_State_election,_2022",,"""I'd stay with the fact that there were shenanigans that went on in that election and there are questions that have not been resolved yet."" ; ""Everybody knows.. that we got robbed.... The R party did little if anything to fight back. They did nothing. You know it. I know it."" https://www.facebook.com/100072014681085/videos/860790094480707",,,,,,,,,,,
Terpsehore Maras,https://www.facebook.com/Toresays,@tore_says,OH,,,AF,,2/2/2022,5/3/2022,,,"https://ballotpedia.org/Ohio_Secretary_of_State_election,_2022",,Twitter acct suspended. Just met with Giuliani on her podcast,,,,,,,,,,,
Frank LaRose,https://www.facebook.com/franklarose/,@FrankLaRose,OH,,,R,Y,2/2/2022,5/3/2022,,,"https://ballotpedia.org/Ohio_Secretary_of_State_election,_2022",,"INCUMBENT ; shifting his tone, moving closer to Trump: https://ohiocapitaljournal.com/2022/02/09/once-claiming-moderation-ohio-secretary-of-state-says-trump-has-a-point-about-voter-fraud/",,,,,,,,,,,
Chelsea Clark,https://www.facebook.com/ChelseaForOhio,@ChelseaForOhio,OH,,,D,,2/2/2022,5/3/2022,,,"https://ballotpedia.org/Ohio_Secretary_of_State_election,_2022",,,,,,,,,,,,,
Mark Lowery ,https://www.facebook.com/LoweryforSecretaryofState/,@OnTheMarkforAR,AR,,,AF,,3/1/2022,5/24/2022,,,"https://ballotpedia.org/Arkansas_Secretary_of_State_election,_2022",WITHDREW - NOW RUNNING FOR STATE TREASURER,,Y,,,,,,,,,,
Josh Price,https://www.facebook.com/joshua.ang.price,@JoshforArkansas,AR,,,D,,3/1/2022,5/24/2022,,,"https://ballotpedia.org/Arkansas_Secretary_of_State_election,_2022",,DEMOCRAT,,,,,,,,,,,
Eddie Joe Williams,https://www.facebook.com/goeddiejoe/,@GoEddieJoe4SOS,AR,Y,*,AF,,3/1/2022,5/24/2022,,,"https://ballotpedia.org/Arkansas_Secretary_of_State_election,_2022",Appointed by Trump to Southern States Energy Board,,,,,,,,,,,,
John Thurston,https://www.facebook.com/ARSecofState/,@ARSecofState,AR,,,R,Y,3/1/2022,5/24/2022,,,"https://ballotpedia.org/Arkansas_Secretary_of_State_election,_2022",,INCUMBENT,,,,,,,,,,,
Anna Beth Gorman ,https://www.facebook.com/ABforAR/,@AnnaBethforAR,AR,,,D,,3/1/2022,5/24/2022,,,"https://ballotpedia.org/Arkansas_Secretary_of_State_election,_2022",,DEMOCRAT,,,,,,,,,,,
Rachel Hamm,https://www.facebook.com/RachelHammSOS,@RachelHammSOS,CA,Y,*,AF,,3/11/2022,6/7/2022,,,"https://ballotpedia.org/California_Secretary_of_State_election,_2022","""Don’t be fooled…Don’t comply…"" Jim Marchant named her as one of the ""coalition""",,,,,,,,,,,,
Shirley Weber,https://www.facebook.com/ShirleyWeber4SOS,@drweber4ca,CA,,,D,,3/11/2022,6/7/2022,,,"https://ballotpedia.org/California_Secretary_of_State_election,_2022",,DEMOCRAT,,,,,,,,,,,
T.J. Hudson,https://www.facebook.com/tjhudsonforgeorgia,@TJforGA,GA,,,R,,3/11/2022,5/24/2022,,,"https://ballotpedia.org/Georgia_Secretary_of_State_election,_2022",,"“I can’t say it (the past election) was stolen, but I can tell you how it could be stolen.” He plans to fix the mail-in ballot problems and violations, mitigate security risks to Dominion voting machines, fight attacks on election integrity and support rural Georgia election teams. https://thebrunswicknews.com/news/local_news/secretary-of-state-candidate-touts-experience/article_2e9a7111-f2a3-5b6e-b396-18e0675c6480.html",,,,,,,,,,,
Manswell Peterson,https://www.facebook.com/Manswell4GA/,NA,GA,,,D,,3/11/2022,5/24/2022,,,"https://ballotpedia.org/Georgia_Secretary_of_State_election,_2022",,DEMOCRAT,,,,,,,,,,,
